dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1840-06-01,24.514,1.901,Kabul,Afghanistan,34.56N,70.05E
1840-07-01,26.693,1.473,Kabul,Afghanistan,34.56N,70.05E
1840-08-01,24.175,1.4280000000000000,Kabul,Afghanistan,34.56N,70.05E
1840-09-01,19.468,1.66,Kabul,Afghanistan,34.56N,70.05E
1840-10-01,,,Kabul,Afghanistan,34.56N,70.05E
1840-11-01,7.544,2.424,Kabul,Afghanistan,34.56N,70.05E
1840-12-01,2.762,2.085,Kabul,Afghanistan,34.56N,70.05E
1841-01-01,0.3430000000000000,2.131,Kabul,Afghanistan,34.56N,70.05E
1841-02-01,,,Kabul,Afghanistan,34.56N,70.05E
1841-03-01,5.869,2.757,Kabul,Afghanistan,34.56N,70.05E
1841-04-01,12.341,2.188,Kabul,Afghanistan,34.56N,70.05E
1841-05-01,19.686,2.164,Kabul,Afghanistan,34.56N,70.05E
1841-06-01,23.854,1.7280000000000000,Kabul,Afghanistan,34.56N,70.05E
1841-07-01,26.057,1.635,Kabul,Afghanistan,34.56N,70.05E
1841-08-01,24.086,1.557,Kabul,Afghanistan,34.56N,70.05E
1841-09-01,19.529,1.565,Kabul,Afghanistan,34.56N,70.05E
1841-10-01,,,Kabul,Afghanistan,34.56N,70.05E
1841-11-01,7.738000000000000,1.824,Kabul,Afghanistan,34.56N,70.05E
1841-12-01,2.165,1.899,Kabul,Afghanistan,34.56N,70.05E
1842-01-01,,,Kabul,Afghanistan,34.56N,70.05E
1842-02-01,,,Kabul,Afghanistan,34.56N,70.05E
1842-03-01,9.589,2.481,Kabul,Afghanistan,34.56N,70.05E
1842-04-01,14.939,2.129,Kabul,Afghanistan,34.56N,70.05E
1842-05-01,19.441,2.228,Kabul,Afghanistan,34.56N,70.05E
1842-06-01,,,Kabul,Afghanistan,34.56N,70.05E
1842-07-01,24.891,1.475,Kabul,Afghanistan,34.56N,70.05E
1842-08-01,24.079,1.6840000000000000,Kabul,Afghanistan,34.56N,70.05E
1842-09-01,19.188,1.658,Kabul,Afghanistan,34.56N,70.05E
1842-10-01,13.852,1.719,Kabul,Afghanistan,34.56N,70.05E
1842-11-01,8.065000000000000,2.0540000000000000,Kabul,Afghanistan,34.56N,70.05E
1842-12-01,4.3260000000000000,1.704,Kabul,Afghanistan,34.56N,70.05E
1843-01-01,1.8,2.19,Kabul,Afghanistan,34.56N,70.05E
1843-02-01,4.988,2.12,Kabul,Afghanistan,34.56N,70.05E
1843-03-01,8.515000000000000,2.372,Kabul,Afghanistan,34.56N,70.05E
1843-04-01,14.303000000000000,1.991,Kabul,Afghanistan,34.56N,70.05E
1843-05-01,19.48,2.061,Kabul,Afghanistan,34.56N,70.05E
1843-06-01,24.13,1.664,Kabul,Afghanistan,34.56N,70.05E
1843-07-01,25.816,1.5520000000000000,Kabul,Afghanistan,34.56N,70.05E
1843-08-01,23.961,1.632,Kabul,Afghanistan,34.56N,70.05E
1843-09-01,20.056000000000000,1.513,Kabul,Afghanistan,34.56N,70.05E
1843-10-01,14.49,1.685,Kabul,Afghanistan,34.56N,70.05E
1843-11-01,7.931000000000000,1.714,Kabul,Afghanistan,34.56N,70.05E
1843-12-01,3.384,2.744,Kabul,Afghanistan,34.56N,70.05E
1844-01-01,1.976,1.943,Kabul,Afghanistan,34.56N,70.05E
1844-02-01,2.654,2.13,Kabul,Afghanistan,34.56N,70.05E
1844-03-01,8.28,2.072,Kabul,Afghanistan,34.56N,70.05E
1844-04-01,12.801000000000000,2.081,Kabul,Afghanistan,34.56N,70.05E
1844-05-01,18.908,2.043,Kabul,Afghanistan,34.56N,70.05E
1844-06-01,23.871,1.534,Kabul,Afghanistan,34.56N,70.05E
1844-07-01,25.507,1.49,Kabul,Afghanistan,34.56N,70.05E
1844-08-01,23.742000000000000,2.272,Kabul,Afghanistan,34.56N,70.05E
1844-09-01,19.27,1.4680000000000000,Kabul,Afghanistan,34.56N,70.05E
1844-10-01,14.592,1.51,Kabul,Afghanistan,34.56N,70.05E
1844-11-01,7.288000000000000,1.632,Kabul,Afghanistan,34.56N,70.05E
1844-12-01,1.9680000000000000,1.7010000000000000,Kabul,Afghanistan,34.56N,70.05E
1845-01-01,1.882,2.207,Kabul,Afghanistan,34.56N,70.05E
1845-02-01,2.196,2.2840000000000000,Kabul,Afghanistan,34.56N,70.05E
1845-03-01,8.473000000000000,2.07,Kabul,Afghanistan,34.56N,70.05E
1845-04-01,14.207,2.0780000000000000,Kabul,Afghanistan,34.56N,70.05E
1845-05-01,20.035,2.162,Kabul,Afghanistan,34.56N,70.05E
1845-06-01,23.923,1.638,Kabul,Afghanistan,34.56N,70.05E
1845-07-01,25.516,1.539,Kabul,Afghanistan,34.56N,70.05E
